dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,9.76688473378327,,0.2171864303568963,0.0815039830756163,18.037986382314717,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,10.537750970713459,,0.20660812227499945,0.08469675030286572,17.70388774170335,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,11.369458998187513,,0.20591594712937972,0.0845622698596375,17.63962974326015,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,12.266810847088667,,0.21388016624865203,0.08073722475866528,17.896761838777984,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,13.23498755589342,,0.22189753751141833,0.0866514008824042,18.50992802004567,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,14.279579084422442,,0.2297948542184836,0.09525339965365137,19.20837673128112,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,15.406616588579809,,0.24812069554618965,0.10211284661658554,20.381835524191587,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,16.622607242425104,,0.2727919976439157,0.11097601341613084,21.82065437051295,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,17.93457180863057,,0.30206202505864965,0.11909284526014574,23.565402705039943,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,19.350085174243723,,0.3404941455757699,0.13141886116254758,25.735720646092915,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,20.87732008579673,,0.3833953117913125,0.14550622344206812,28.073948400685556,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,22.525094336275785,,0.44421278938620057,0.17333921352716744,30.861006765162834,5
