model,kernel,datasets,mean_test_rss_mean,mean_test_rss_median,mean_test_mae_deg_mean,bandwidth_median,kappa_median
RBF-von-Mises NW smoother,multiplicative_rbf_vm,39,0.17461601130995352,0.16996989144662733,16.720902189959396,10.537750970713459,32.0
RBF NW smoother,rbf,39,0.22064172711627725,0.22696115860311156,19.695886288657587,5.73869285436427,
Uniform NW smoother,uniform,39,0.23119632173447868,0.23791983750013315,20.52395293701638,14.279579084422442,
