dataset,model,bandwidth,kappa,mean_test_rss,mean_test_mae_deg,n_folds
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,220.0,8.0,0.18330747814681106,17.596492198639783,5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,RBF NW smoother,5.73869285436427,,0.26385064272260406,21.753965466698258,5
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.2679947000799824,22.251452198516994,5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,11.369458998187513,12.0,0.16996989144662733,16.666851751287805,5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,RBF NW smoother,6.680311572143722,,0.20036791434035028,19.61199704838554,5
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.21464128170089283,19.793597917275296,5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,3.6379922424179822,64.0,0.12475011087769239,13.346439962931376,5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,RBF NW smoother,2.1375618382781663,,0.14193263549410257,14.494388421122611,5
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,Uniform NW smoother,22.525094336275785,,0.14117645596448258,15.235315819868433,5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,RBF-von-Mises NW smoother,220.0,64.0,0.06444220943373892,9.702376768659287,5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,RBF NW smoother,1.0,,0.10266877610189415,12.068128953378174,5
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,Uniform NW smoother,7.207565326386083,,0.10103151997039203,12.513789816573288,5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,RBF-von-Mises NW smoother,20.87732008579673,32.0,0.23977015415870953,19.238372181140537,5
