bandwidth,kappa,train_mae_mean,train_mae_sd,test_mae_mean,test_mae_sd,gap_mean,gap_sd,train_rss_mean,test_rss_mean,n_folds
0.1,0.0,29.681662490569227,0.2869684535051616,41.798152538324715,13.005429836134372,12.116490047755486,13.25743648203803,0.41474620452238364,0.7303332709602158,50
0.14997498749374688,0.0,30.185361592324448,0.2859319997433296,40.73250968665917,13.27072517891197,10.547148094334725,13.534474026787192,0.4182442120778858,0.6987236918816919,50
0.19994997498749376,0.0,30.669203631739798,0.30244726543499545,40.0595651526428,12.896440881338275,9.390361520902987,13.172175879761934,0.4227230401696771,0.6727003457461947,50
0.24992496248124063,0.0,30.928271545263275,0.27896561117212393,39.55550648297529,12.452390566357659,8.627234937712016,12.711030411071405,0.42416313280452805,0.6531235456927211,50
0.2998999499749875,0.0,31.146192990307622,0.2635129793299034,39.40612371394561,12.298770386683096,8.259930723638,12.541996503222755,0.4307224115364604,0.6502415538438986,50
0.3498749374687344,0.0,31.52935018233274,0.24778912170273645,39.08477816988165,12.16281058012821,7.555427987548915,12.389789952296054,0.43950379873976475,0.639742231549995,50
0.3998499249624813,0.0,31.8287960394706,0.2473754106545524,38.875758535488394,12.151616484672322,7.0469624960178,12.382784388578324,0.4461048108523944,0.6337339853350806,50
0.44982491245622813,0.0,32.022259784046206,0.253289920875306,38.736077380670864,12.192739361708355,6.71381759662466,12.43346979458393,0.45156476597901546,0.630344921725384,50
0.499799899949975,0.0,32.1287864255833,0.25622206434297007,38.616400756830565,12.260377409853676,6.487614331247273,12.507481554285942,0.45482279811224485,0.627472695000719,50
0.5497748874437218,0.0,32.17514819946613,0.2584629329869242,38.474462714215186,12.371181520801578,6.299314514749053,12.622394105354791,0.456299243831222,0.6237206877865455,50
0.5997498749374688,0.0,32.19914724838287,0.2579224280834645,38.29159361878202,12.609744103989707,6.092446370399141,12.861183942042313,0.45749815169554325,0.6202060651747976,50
0.6497248624312156,0.0,32.22036480850693,0.257206011336029,38.14823450481533,12.82596561022494,5.927869696308397,13.076047372700046,0.4585782535016078,0.618342003865405,50
0.6996998499249625,0.0,32.26286473722461,0.25295101021967015,38.17366150362348,12.68056371578466,5.9107967663988745,12.926229191867257,0.4595853235777453,0.6176479791971555,50
0.7496748374187093,0.0,32.301160206485264,0.2521483455675837,38.16354504764798,12.621762652998022,5.862384841162719,12.866371779917754,0.4605189365883868,0.6169772236776301,50
0.7996498249124563,0.0,32.333919025540546,0.25165782814766946,38.13855926488558,12.585960172569775,5.804640239345035,12.8299296650356,0.46137879936770454,0.616119831411735,50
0.8496248124062031,0.0,32.36202325559929,0.25092053327630187,38.103794875075195,12.55138760741937,5.741771619475896,12.79451502837182,0.46216091916410734,0.615002938845992,50
0.89959979989995,0.0,32.385807501036446,0.24995207705611724,38.05767665128232,12.511050532787268,5.671869150245886,12.753106033732392,0.46287494827459696,0.6135651733646624,50
0.9495747873936968,0.0,32.40606996829087,0.2487676589538365,37.99897888798517,12.463121229781999,5.592908919694296,12.703864281554747,0.46353801621384255,0.6118281341629497,50
0.9995497748874437,0.0,32.42349585877092,0.2475584156774067,37.93050694607758,12.41539470724103,5.507011087306645,12.654778867867044,0.4641634885062861,0.610024893011571,50
1.0495247623811907,0.0,32.43843932167425,0.24661598133191848,37.86215322842044,12.3809789823051,5.423713906746186,12.619317503740175,0.46474666659962355,0.6085384527303397,50
1.0994997498749375,0.0,32.452342483373116,0.24513025762374852,37.804063815315736,12.36487009448085,5.35172133194262,12.601961785006187,0.46528354400876504,0.6075563792027215,50
1.1494747373686844,0.0,32.46387821468719,0.2447158801183885,37.759113814306026,12.362204897600009,5.295235599618837,12.598905438855578,0.4657154964374485,0.6069873577705388,50
1.1994497248624314,0.0,32.47348759109927,0.24485672903828676,37.72513183761984,12.366752418744367,5.251644246520558,12.603545865873368,0.46608712263189517,0.6066735867748416,50
1.2494247123561781,0.0,32.482060417346595,0.245041219887424,37.699083985064696,12.374588756725835,5.217023567718104,12.611515349825915,0.4664245000459374,0.6065037849079081,50
1.299399699849925,0.0,32.48958820658659,0.24525688738618232,37.678597233238655,12.383705273973602,5.189009026652063,12.620796823702504,0.46673369548104815,0.6064148004104397,50
1.349374687343672,0.0,32.49624393440895,0.24546777731711364,37.66205338868712,12.393130873980148,5.165809454278168,12.63039068618612,0.4670170295922905,0.6063723121641125,50
1.3993496748374188,0.0,32.50214988315662,0.24567313045294034,37.648378174331455,12.402402590394388,5.14622829117484,12.63982989082937,0.46727648996082527,0.606357353209738,50
1.4493246623311657,0.0,32.50743503258129,0.24586190408296862,37.63685059204773,12.411304399450948,5.129415559466437,12.648888997703526,0.46751415794431606,0.6063590690381199,50
1.4992996498249127,0.0,32.51218726659886,0.24604084546579033,37.62697505853732,12.419742704285808,5.11478779193846,12.657478113413976,0.4677328100345071,0.6063710114925255,50
1.5492746373186594,0.0,32.51648750753215,0.24621542150944695,37.61840149554851,12.427685980377904,5.101913988016366,12.665568602087989,0.4679343093350049,0.6063892180797524,50
1.5992496248124064,0.0,32.52037477611224,0.2463825785397556,37.610875848852146,12.435134572737459,5.090501072739914,12.673157171776882,0.4681201302948469,0.6064111835794783,50
1.6492246123061531,0.0,32.523866059371414,0.24652832006175762,37.604209058165246,12.442105066074278,5.0803429987938316,12.680241580568893,0.4682898538231801,0.6064352881224704,50
1.6991995997999,0.0,32.527052824747436,0.24666961268142956,37.5982571873483,12.448621956896384,5.0712043626008585,12.686870227040457,0.4684467764689505,0.6064604669482359,50
1.749174587293647,0.0,32.529977339690994,0.2467986849640666,37.59288886800397,12.454699953504406,5.062911528312973,12.69305300873386,0.46859168962972425,0.6064849420635118,50
1.7991495747873938,0.0,32.532426270527985,0.2469429656495272,37.58764988565782,12.46012112243652,5.055223615129828,12.698596503370235,0.4687133573256763,0.6064881887323109,50
1.8491245622811407,0.0,32.53467154915739,0.24707959470061572,37.58288185364685,12.465191921386996,5.048210304489453,12.703782948372224,0.4688265491774073,0.6064925256228824,50
1.8990995497748875,0.0,32.536735438474615,0.24720888968392124,37.57852446570628,12.469937914430352,5.0417890272316646,12.708638217807986,0.4689320115792782,0.6064976217872046,50
1.9490745372686344,0.0,32.53864447470237,0.24732859005001454,37.57452774360001,12.474383222437739,5.035883268897643,12.713186134077667,0.46903041281206215,0.6065032327583266,50
1.9990495247623814,0.0,32.54041961263722,0.24744113492315226,37.57084981255139,12.478550362065318,5.030430199914168,12.717451098586782,0.46912235237956634,0.606509176711727,50
2.049024512256128,0.0,32.54206772465236,0.2475486237511258,37.5674552461197,12.482460208565561,5.0253875214673345,12.721454393478467,0.46920836911339747,0.6065153177953879,50
2.098999499749875,0.0,32.54359630369864,0.2476503944025013,37.56431381479554,12.486132029626587,5.0207175110969,12.725214508945243,0.4692889482164874,0.6065215542766729,50
2.148974487243622,0.0,32.54501673417176,0.24774677321105643,37.56139952574858,12.489583558551217,5.0163827915768175,12.728749498920868,0.46936452739433937,0.606527809988479,50
2.198949474737369,0.0,32.54634172658105,0.24783683109588514,37.55868987591599,12.492831087603077,5.012348149334931,12.732074700567484,0.4694355022021881,0.6065340280747533,50
2.2489244622311158,0.0,32.54758310238434,0.2479195017741189,37.556165263749584,12.495889569903476,5.008582161365247,12.735203953303241,0.46950223071764036,0.6065401663637673,50
