dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,21.849476080315593,1.0,0.5785962050695388,0.1119129422799762,13.02405004109283,kernel_gp_line_embedding_cv,,,
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.0743414157001565,16.0,0.6198072304825997,0.14401638357741106,11.63815113868571,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,8.0,0.03516149657833926,0.06449832738649217,8.052062619904133,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.6335084240988161,0.07127535290917317,8.558537509944923,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,10.542178181282909,1.0,0.6213822971429943,0.105998917008328,10.82337250817036,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.0743414157001565,16.0,0.6227078070317745,0.08454962076467937,9.961356748035517,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Gaussian RBF RKHS,gaussian_rbf,14.73651174277032,,0.2763709260364653,0.07743011701396632,9.498704854055385,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,19.64536148795532,4.0,0.2768362503549544,0.07532282878153382,9.390851340030578,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,110.268636569268,1.0,0.03520829784272899,0.07187239208568352,8.860518391716303,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,34.913282666938585,2.0,0.08058577002939384,0.07639055170676659,8.717142403875947,kernel_gp_line_embedding_cv,,,
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Uniform RKHS,uniform,15.132790203511458,,0.4136400852133423,0.19024676967203452,16.359800755355366,kernel_gp_line_embedding_cv,,,
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,20.280992505120025,2.0,0.6251614543459745,0.17690753367289308,15.697828523630392,kernel_gp_line_embedding_cv,,,
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.6088087584797233,0.09733437031651046,11.07663031221416,kernel_gp_line_embedding_cv,,,
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Gaussian RBF RKHS,gaussian_rbf,4.580119495966776,,0.39660575750105964,0.1435417136709359,12.910839527424756,kernel_gp_line_embedding_cv,,,
