dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric p=2 (Fermat),parametric_fixed_p,0.600248741835524,0.22916500663576964,36.54194685889189,2.0,3.0270533179505743
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric continuous p,parametric_continuous_p,0.6382451070292732,0.20808225442615105,36.9504530334202,-0.999,1.583523354148571
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=0 (Logarithmic),parametric_fixed_p,0.5767845347359603,0.3347800945997245,34.431276845293574,0.0,-1.1603475525756135
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=1 (Archimedean),parametric_fixed_p,0.5956573580524601,0.3281351882164167,35.990113416687805,1.0,-0.27054973049733705
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=2 (Fermat),parametric_fixed_p,0.6169074696378976,0.30567632607427064,37.88756294212059,2.0,3.07414589498302
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric continuous p,parametric_continuous_p,0.6210402274827767,0.3243217053088562,36.004637042354915,-0.999,1.5856114052245456
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=0 (Logarithmic),parametric_fixed_p,0.5842683262199225,0.18887180480870738,36.03352321959801,0.0,0.2086753582721267
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=1 (Archimedean),parametric_fixed_p,0.5519056686355237,0.1635815496370729,35.3780415284909,1.0,-0.1785739958174389
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=2 (Fermat),parametric_fixed_p,0.5618396290282466,0.1739477616298586,35.457590612877596,2.0,3.121114712271244
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric continuous p,parametric_continuous_p,0.558401313266917,0.16639915540420225,35.61355047295548,1.158402832900855,2.9034585909540023
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6929626706185645,0.12571776673519663,40.09230616050137,0.0,-1.1257226853496658
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric p=1 (Archimedean),parametric_fixed_p,0.7346529215963267,0.13084960714758395,41.21482396912353,1.0,-0.03999909562859209
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric p=2 (Fermat),parametric_fixed_p,0.8236315695139345,0.1493885142046764,44.510700216454765,2.0,-0.002170370681759422
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric continuous p,parametric_continuous_p,0.6672936876974999,0.11243375291033063,39.158526307928085,-0.999,1.580180551572507
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=0 (Logarithmic),parametric_fixed_p,0.687532840508105,0.21620800422404013,40.28382325701082,0.0,-1.667485871280487
