dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,80.82851262784433,2.0,0.033178332562355826,0.10585276796120857,12.633494660036103,kernel_gp_line_embedding_cv,,,
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Gaussian RBF RKHS,gaussian_rbf,11.291426654079174,,0.6211137847647866,0.11376340407656589,11.066372035082205,kernel_gp_line_embedding_cv,,,
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Uniform RKHS,uniform,11.291426654079174,,0.411004450253859,0.10063284645235035,10.742146519923274,kernel_gp_line_embedding_cv,,,
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,48.820225901290684,4.0,0.6211137847647866,0.1087569204752034,10.83183746049273,kernel_gp_line_embedding_cv,,,
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Gaussian RBF RKHS,gaussian_rbf,4.639355254506452,,0.6163916202592707,0.18399495099117527,15.27674857931132,kernel_gp_line_embedding_cv,,,
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Uniform RKHS,uniform,14.322405654896652,,0.11818385489077612,0.18735190739928903,15.843234849663983,kernel_gp_line_embedding_cv,,,
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,33.35682646557795,2.0,0.26990283030122536,0.1621787036613138,14.358112146438675,kernel_gp_line_embedding_cv,,,
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Gaussian RBF RKHS,gaussian_rbf,4.714051180780123,,0.0323024822051474,0.0634105879596114,8.857803198289883,kernel_gp_line_embedding_cv,,,
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Uniform RKHS,uniform,11.517893021288979,,0.07377091719492307,0.07081385140934417,9.590707964383522,kernel_gp_line_embedding_cv,,,
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.349222438575564,1.0,0.1684746140936807,0.06278076860716456,8.90276275360714,kernel_gp_line_embedding_cv,,,
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Gaussian RBF RKHS,gaussian_rbf,4.714051180780123,,0.4175457071339609,0.09745333154265094,9.575990550027463,kernel_gp_line_embedding_cv,,,
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Uniform RKHS,uniform,8.551588438172223,,0.27629904218184703,0.10329139148938818,9.748298010758742,kernel_gp_line_embedding_cv,,,
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,168.0,8.0,0.6309989935877309,0.07406750618927366,9.386455445740692,kernel_gp_line_embedding_cv,,,
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Gaussian RBF RKHS,gaussian_rbf,13.431108806750808,,0.6230210307940474,0.14932915133339847,13.056647818187173,kernel_gp_line_embedding_cv,,,
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Uniform RKHS,uniform,17.576023799500128,,0.11945494500118979,0.1570303726210518,14.489090730664733,kernel_gp_line_embedding_cv,,,
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,23.000082647333304,8.0,0.03461227948855818,0.14215770652076437,13.287519131583133,kernel_gp_line_embedding_cv,,,
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Gaussian RBF RKHS,gaussian_rbf,7.843218937289106,,0.03157874288770707,0.17618619776923566,17.039996514343137,kernel_gp_line_embedding_cv,,,
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Uniform RKHS,uniform,7.843218937289106,,0.16469992887178914,0.18972052244059107,18.508563903629728,kernel_gp_line_embedding_cv,,,
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,115.5,4.0,0.5684173719787272,0.15020797998881258,15.069130970281417,kernel_gp_line_embedding_cv,,,
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.0352566885521508,0.09520991043152327,8.866182590376068,kernel_gp_line_embedding_cv,,,
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Uniform RKHS,uniform,8.425169064649094,,0.0805175972307618,0.08615596601850203,8.698193713215177,kernel_gp_line_embedding_cv,,,
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.0352566885521508,0.08030929915212359,7.980445901216795,kernel_gp_line_embedding_cv,,,
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Gaussian RBF RKHS,gaussian_rbf,4.690706261919161,,0.2728529511538054,0.032706025530646894,5.687759975880275,kernel_gp_line_embedding_cv,,,
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Uniform RKHS,uniform,8.425169064649094,,0.2728529511538054,0.03503842907737313,5.709402736708627,kernel_gp_line_embedding_cv,,,
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,157.5,16.0,0.6231289700316056,0.023266096272634474,5.341763631554916,kernel_gp_line_embedding_cv,,,
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Gaussian RBF RKHS,gaussian_rbf,11.054252092940754,,0.628607168454337,0.10957072400218312,10.668172427837685,kernel_gp_line_embedding_cv,,,
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Uniform RKHS,uniform,11.054252092940754,,0.07975466797063528,0.0997308722855459,10.457669006412875,kernel_gp_line_embedding_cv,,,
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,34.913282666938585,2.0,0.07975466797063528,0.10821293241932876,9.707927488305062,kernel_gp_line_embedding_cv,,,
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Gaussian RBF RKHS,gaussian_rbf,7.843218937289106,,0.6058282402024586,0.11329576090908493,12.8318372939243,kernel_gp_line_embedding_cv,,,
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Uniform RKHS,uniform,10.26367999023247,,0.11615848508567514,0.11125425396846281,12.663625472126558,kernel_gp_line_embedding_cv,,,
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,7.843218937289106,0.0,0.6058282402024586,0.11329576090908493,12.8318372939243,kernel_gp_line_embedding_cv,,,
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Gaussian RBF RKHS,gaussian_rbf,30.098036269113837,,0.11485153521058894,0.1411634351548574,15.333094854651844,kernel_gp_line_embedding_cv,,,
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Uniform RKHS,uniform,7.843218937289106,,0.39637908928877136,0.14575111085319797,14.563661199282896,kernel_gp_line_embedding_cv,,,
