dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Uniform RKHS,uniform,20.64440540250895,,0.6093373631197743,0.22710078422700883,20.049222240827937
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,94.5,1.0,0.6093373631197743,0.16625926943723762,15.460984877992852
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Gaussian RBF RKHS,gaussian_rbf,16.021289717542732,,0.6082959952905242,0.1746344075598902,16.456561241398596
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Uniform RKHS,uniform,20.64440540250895,,0.07717768356277832,0.1925716752691206,17.371835444613218
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,56.914378615859725,1.0,0.11663164013783378,0.10791626256820046,12.799466318809976
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Gaussian RBF RKHS,gaussian_rbf,12.947669461618,,0.597209986122405,0.17043304746631302,15.711936155472802
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Uniform RKHS,uniform,7.6725933322651105,,0.39518678872230634,0.1815176403444978,15.19840543569074
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,80.82851262784433,2.0,0.033178332562355826,0.10585276796120857,12.633494660036103
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Gaussian RBF RKHS,gaussian_rbf,11.291426654079174,,0.6211137847647866,0.11376340407656589,11.066372035082205
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Uniform RKHS,uniform,11.291426654079174,,0.411004450253859,0.10063284645235035,10.742146519923274
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,48.820225901290684,4.0,0.6211137847647866,0.1087569204752034,10.83183746049273
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Gaussian RBF RKHS,gaussian_rbf,4.639355254506452,,0.6163916202592707,0.18399495099117527,15.27674857931132
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Uniform RKHS,uniform,14.322405654896652,,0.11818385489077612,0.18735190739928903,15.843234849663983
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,33.35682646557795,2.0,0.26990283030122536,0.1621787036613138,14.358112146438675
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Gaussian RBF RKHS,gaussian_rbf,4.714051180780123,,0.0323024822051474,0.0634105879596114,8.857803198289883
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Uniform RKHS,uniform,11.517893021288979,,0.07377091719492307,0.07081385140934417,9.590707964383522
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.349222438575564,1.0,0.1684746140936807,0.06278076860716456,8.90276275360714
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Gaussian RBF RKHS,gaussian_rbf,4.714051180780123,,0.4175457071339609,0.09745333154265094,9.575990550027463
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Uniform RKHS,uniform,8.551588438172223,,0.27629904218184703,0.10329139148938818,9.748298010758742
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,168.0,8.0,0.6309989935877309,0.07406750618927366,9.386455445740692
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Gaussian RBF RKHS,gaussian_rbf,13.431108806750808,,0.6230210307940474,0.14932915133339847,13.056647818187173
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Uniform RKHS,uniform,17.576023799500128,,0.11945494500118979,0.1570303726210518,14.489090730664733
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,23.000082647333304,8.0,0.03461227948855818,0.14215770652076437,13.287519131583133
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Gaussian RBF RKHS,gaussian_rbf,7.843218937289106,,0.03157874288770707,0.17618619776923566,17.039996514343137
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Uniform RKHS,uniform,7.843218937289106,,0.16469992887178914,0.18972052244059107,18.508563903629728
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,115.5,4.0,0.5684173719787272,0.15020797998881258,15.069130970281417
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.0352566885521508,0.09520991043152327,8.866182590376068
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Uniform RKHS,uniform,8.425169064649094,,0.0805175972307618,0.08615596601850203,8.698193713215177
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.0352566885521508,0.08030929915212359,7.980445901216795
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Gaussian RBF RKHS,gaussian_rbf,4.690706261919161,,0.2728529511538054,0.032706025530646894,5.687759975880275
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Uniform RKHS,uniform,8.425169064649094,,0.2728529511538054,0.03503842907737313,5.709402736708627
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,157.5,16.0,0.6231289700316056,0.023266096272634474,5.341763631554916
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Gaussian RBF RKHS,gaussian_rbf,11.054252092940754,,0.628607168454337,0.10957072400218312,10.668172427837685
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Uniform RKHS,uniform,11.054252092940754,,0.07975466797063528,0.0997308722855459,10.457669006412875
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,34.913282666938585,2.0,0.07975466797063528,0.10821293241932876,9.707927488305062
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Gaussian RBF RKHS,gaussian_rbf,7.843218937289106,,0.6058282402024586,0.11329576090908493,12.8318372939243
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Uniform RKHS,uniform,10.26367999023247,,0.11615848508567514,0.11125425396846281,12.663625472126558
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,7.843218937289106,0.0,0.6058282402024586,0.11329576090908493,12.8318372939243
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Gaussian RBF RKHS,gaussian_rbf,30.098036269113837,,0.11485153521058894,0.1411634351548574,15.333094854651844
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Uniform RKHS,uniform,7.843218937289106,,0.39637908928877136,0.14575111085319797,14.563661199282896
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,88.2618893144557,4.0,0.033278433440819814,0.10691185585785343,13.165493526224092
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Gaussian RBF RKHS,gaussian_rbf,5.906326733764805,,0.18325612316644813,0.06844698464402241,9.219812959995043
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Uniform RKHS,uniform,7.6725933322651105,,0.18325612316644813,0.08807094430883958,11.059560744653254
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,5.906326733764805,8.0,0.035136615028997,0.032071357688189264,6.814164077336008
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Gaussian RBF RKHS,gaussian_rbf,10.542178181282909,,0.525437882814366,0.178586101412434,16.81741055055789
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Uniform RKHS,uniform,10.542178181282909,,0.3476936327382466,0.1983577941913453,19.067116102090424
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,10.542178181282909,2.0,0.3476936327382466,0.161183365418431,15.96741088928905
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Gaussian RBF RKHS,gaussian_rbf,6.349222438575564,,0.121034431278444,0.14861143264771132,13.169576815815677
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Uniform RKHS,uniform,8.551588438172223,,0.1829083691229496,0.13924195532318365,13.120769156748418
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.349222438575564,16.0,0.035069938403190136,0.11212135750055278,11.40052543053308
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.557134261745469,0.17538783764556196,17.72863864220228
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Uniform RKHS,uniform,7.28749602533562,,0.3686678135037716,0.1589096249040549,17.383951820616193
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,84.0,4.0,0.3686678135037716,0.09936924367392609,13.745293124269518
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Gaussian RBF RKHS,gaussian_rbf,7.843218937289106,,0.5651004017213289,0.18766172112121587,16.13235172522222
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Uniform RKHS,uniform,10.26367999023247,,0.07169723345690918,0.15482408650423013,15.296905863133569
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,115.5,4.0,0.5651004017213289,0.14931566524894893,16.22394328812852
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Gaussian RBF RKHS,gaussian_rbf,12.947669461618,,0.5785962050695388,0.12073240919435332,13.18179962207383
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Uniform RKHS,uniform,7.6725933322651105,,0.38286964645879007,0.136749095291473,14.146606717741577
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,21.849476080315593,1.0,0.5785962050695388,0.1119129422799762,13.02405004109283
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Gaussian RBF RKHS,gaussian_rbf,10.542178181282909,,0.4101398749736944,0.16394334487828485,12.96690104148104
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Uniform RKHS,uniform,8.002299015798979,,0.11883874695895115,0.1671232966672481,12.465887944049094
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.0743414157001565,16.0,0.6198072304825997,0.14401638357741106,11.63815113868571
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Gaussian RBF RKHS,gaussian_rbf,4.665877950497776,,0.03516149657833926,0.0893780125910872,9.564345250796572
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Uniform RKHS,uniform,8.292090520962951,,0.6329069384101067,0.08454064350923658,9.638632349442592
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,8.0,0.03516149657833926,0.06449832738649217,8.052062619904133
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.6335084240988161,0.0980218307054037,9.551299645686246
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Uniform RKHS,uniform,8.292090520962951,,0.4192062516798357,0.09406939171611448,9.507266201543258
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.6335084240988161,0.07127535290917317,8.558537509944923
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Gaussian RBF RKHS,gaussian_rbf,6.0743414157001565,,0.6213822971429943,0.11595749858987492,11.688034883804486
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Uniform RKHS,uniform,10.542178181282909,,0.1800466086836456,0.13524267042319324,12.996604933025727
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,10.542178181282909,1.0,0.6213822971429943,0.105998917008328,10.82337250817036
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Gaussian RBF RKHS,gaussian_rbf,6.0743414157001565,,0.034594878168431924,0.09718410952892591,12.217445413303986
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Uniform RKHS,uniform,8.002299015798979,,0.1804306774949858,0.10306488206843449,12.238022957252841
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.0743414157001565,16.0,0.6227078070317745,0.08454962076467937,9.961356748035517
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Gaussian RBF RKHS,gaussian_rbf,14.73651174277032,,0.2763709260364653,0.07743011701396632,9.498704854055385
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Uniform RKHS,uniform,11.054252092940754,,0.08007895976504364,0.08138760608035844,9.77523549737979
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,14.73651174277032,0.0,0.2763709260364653,0.07743011701396632,9.498704854055385
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Gaussian RBF RKHS,gaussian_rbf,11.054252092940754,,0.4183575411698191,0.08722640231933305,9.479972602094783
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Uniform RKHS,uniform,14.73651174277032,,0.2768362503549544,0.09660660857347235,10.32206940307634
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,19.64536148795532,4.0,0.2768362503549544,0.07532282878153382,9.390851340030578
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.6337493611691217,0.07568654209362549,8.482243681772658
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Uniform RKHS,uniform,11.054252092940754,,0.4193656849601071,0.07399735206680438,8.765607090609528
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,110.268636569268,1.0,0.03520829784272899,0.07187239208568352,8.860518391716303
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.4202976235981267,0.07691564633879092,7.90943941176491
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Uniform RKHS,uniform,8.292090520962951,,0.4202976235981267,0.07712733137174521,8.10546966458629
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,34.913282666938585,2.0,0.08058577002939384,0.07639055170676659,8.717142403875947
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Gaussian RBF RKHS,gaussian_rbf,15.132790203511458,,0.6250967810655127,0.19910315688823949,16.430569540811184
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Uniform RKHS,uniform,15.132790203511458,,0.4136400852133423,0.19024676967203452,16.359800755355366
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,87.68800134256274,1.0,0.6250967810655127,0.19378145063227456,18.761871524530452
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Gaussian RBF RKHS,gaussian_rbf,48.820225901290684,,0.03473119190810969,0.18278260271900162,16.903703853705686
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Uniform RKHS,uniform,8.425169064649094,,0.41368288092442507,0.18251010700143522,15.27160213750886
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,20.280992505120025,2.0,0.6251614543459745,0.17690753367289308,15.697828523630392
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.40286194772420253,0.10633252981135169,11.407775626949354
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Uniform RKHS,uniform,8.002299015798979,,0.40286194772420253,0.10408026604514334,11.51292138109056
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.6088087584797233,0.09733437031651046,11.07663031221416
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Gaussian RBF RKHS,gaussian_rbf,4.580119495966776,,0.39660575750105964,0.1435417136709359,12.910839527424756
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Uniform RKHS,uniform,7.843218937289106,,0.07604320979191088,0.1486089019416701,13.25755141743208
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,4.580119495966776,0.0,0.39660575750105964,0.1435417136709359,12.910839527424756
