model,family,datasets,mean_test_rss_mean,mean_test_rss_median,mean_test_mae_deg_mean,p_median
Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,10,0.34491385274739056,0.3515018287991899,24.85827946051662,
Gaussian RBF RKHS,kernel_gp_line_embedding_cv,10,0.34747769510983806,0.3515018287991899,24.920502090203698,
Uniform RKHS,kernel_gp_line_embedding_cv,10,0.36748589577190927,0.35241118934293214,26.12124017616872,
Parametric p=0 (Logarithmic),parametric_fixed_p,10,0.7850589635757116,0.7800299963851733,43.84302950551186,0.0
Parametric p=1 (Archimedean),parametric_fixed_p,10,0.7985607798226027,0.7736454672706853,43.9640414612843,1.0
Parametric continuous p,parametric_continuous_p,10,0.8044893483404814,0.8138336403039614,44.32549786861804,0.1992602013014226
Parametric p=2 (Fermat),parametric_fixed_p,10,0.827843418401663,0.8407214551736166,44.85180662980115,2.0
