model,family,datasets,mean_test_nlpd_mean,mean_test_nlpd_median,mean_train_axial_sigma_mean,mean_test_mae_deg_mean,p_median
Uniform RKHS,kernel_gp_line_embedding_cv,10,0.9525424136655433,0.980614920700482,0.554057668508861,26.674995934656202,
Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,10,1.0175045797573599,1.0450697961559579,0.545270501566687,29.214053287275743,
Gaussian RBF RKHS,kernel_gp_line_embedding_cv,10,1.0289155027907255,1.0722400019988045,0.5610264294623017,29.774168493620817,
Parametric p=0 (Logarithmic),parametric_fixed_p,10,1.300221045703609,1.2975333216893963,0.8502744099941058,43.84302950551186,0.0
Parametric p=1 (Archimedean),parametric_fixed_p,10,1.309580517871635,1.2964459325899642,0.8509538133903064,43.9640414612843,1.0
Parametric continuous p,parametric_continuous_p,10,1.314963148210517,1.3209934728768329,0.8420623905946669,44.32549786861804,0.1992602013014226
Parametric p=2 (Fermat),parametric_fixed_p,10,1.3266435204449265,1.3374613869503242,0.8670897150059114,44.85180662980115,2.0
