dataset,n,model,family,mean_test_nlpd,mean_train_axial_sigma,mean_test_mae_deg,p_median,gamma_median,kernel,bandwidth,kappa,sigma_n
Front_EE-1_5_3000x_rings_coords.csv,180,Parametric continuous p,parametric_continuous_p,1.3394062240868387,0.8557790685852599,45.52142946842986,-0.23099210225668526,-4.71165993852743e-05,,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,1.006734975524088,0.5930277112424267,28.212542828364356,,,gaussian_rbf,205.3618775831939,,0.6343733754272397
Front_EE-1_5_3000x_rings_coords.csv,180,Uniform RKHS,kernel_gp_line_embedding_cv,0.9653652471565953,0.5710435999819208,25.938172263887104,,,uniform,62.63731445632596,,0.6343733754272397
Front_EE-1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,0.9965151360155977,0.5905518866875081,28.576607112334493,,,multiplicative_rbf_vm,906.0,0.5,0.2777766015435682
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=0 (Logarithmic),parametric_fixed_p,1.321095318759523,0.8585374967361707,43.98378630950464,0.0,0.3664701916371319,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=1 (Archimedean),parametric_fixed_p,1.3364846863535262,0.8628740388104028,45.21707028542021,1.0,-0.008620674206992782,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=2 (Fermat),parametric_fixed_p,1.3642437949000903,0.8869552499716903,46.57101073397449,2.0,-0.0004721410567650248,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Parametric continuous p,parametric_continuous_p,1.3384833435206915,0.8478898932568161,45.0801182503663,-0.9863563437846602,0.006911774100651025,,,,
Front_EE1_1_3000x_rings_coords.csv,136,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,0.679293096918383,0.31533095913291737,18.358555173853297,,,gaussian_rbf,90.71539956485724,,0.41673132360436943
Front_EE1_1_3000x_rings_coords.csv,136,Uniform RKHS,kernel_gp_line_embedding_cv,0.6611295214977917,0.39277804055941173,19.466655713340334,,,uniform,50.37308689740637,,0.6297682895503359
Front_EE1_1_3000x_rings_coords.csv,136,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,0.679293096918383,0.31533095913291737,18.358555173853297,,,multiplicative_rbf_vm,90.71539956485724,0.0,0.41673132360436943
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,1.2410647019332144,0.8265625274073818,40.901279047593576,0.0,2.476104649943638,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,1.2506857124380901,0.8235816565701661,40.983346257625996,1.0,3.1378746429796482,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,1.2461022435953528,0.828045770482686,40.59799845742169,2.0,1.5707809087811717,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,1.2582398403989665,0.8224943720788828,41.30437512841889,1.30384241882415,1.5630181029703951,,,,
Front_EE1_2_3000x_rings_coords.csv,178,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,1.1773101942498851,0.6863676231536455,36.140919779284864,,,gaussian_rbf,434.6699957664934,,0.1839422475112017
Front_EE1_2_3000x_rings_coords.csv,178,Uniform RKHS,kernel_gp_line_embedding_cv,1.0984938347084434,0.6895507109844903,31.592694315764174,,,uniform,73.64633724402418,,0.1839422475112017
Front_EE1_2_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,1.1773101942498851,0.6863676231536455,36.140919779284864,,,multiplicative_rbf_vm,434.6699957664934,0.0,0.1839422475112017
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,1.2309324108580866,0.8142186796945033,40.21815534553979,0.0,0.6228650374181961,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),parametric_fixed_p,1.224875500175664,0.814862469717449,39.56593671204182,1.0,0.003914725735801403,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),parametric_fixed_p,1.3137563184979206,0.850329354046122,44.10855442911756,2.0,-3.14157830816435,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Parametric continuous p,parametric_continuous_p,1.2582662199649135,0.8123270520674903,41.202531557209646,0.6295125048595305,0.02128928103219499,,,,
Front_EE1_3_3000x_rings_coords.csv,180,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,1.0623664414550862,0.5189823338570922,28.362980865148746,,,gaussian_rbf,134.07107189073474,,0.6335966839715044
Front_EE1_3_3000x_rings_coords.csv,180,Uniform RKHS,kernel_gp_line_embedding_cv,0.9958645942443685,0.4475110518880938,25.755810347811206,,,uniform,55.092313253609014,,0.05319429214518646
Front_EE1_3_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,1.0292304411574054,0.49751641287417564,27.908601413048718,,,multiplicative_rbf_vm,242.5666723910242,0.5,0.2774365073318954
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=0 (Logarithmic),parametric_fixed_p,1.2287342871741174,0.8215053498965059,40.46669274427127,0.0,1.479475246725836,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=1 (Archimedean),parametric_fixed_p,1.222701673484615,0.8130744734948425,40.087869202274184,1.0,0.0436455367291545,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=2 (Fermat),parametric_fixed_p,1.2427325898864912,0.8193104803556673,40.826339005853576,2.0,-1.5581520867670517,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Parametric continuous p,parametric_continuous_p,1.225023639821249,0.8126358744523803,40.183200239037106,0.8695830208446382,-3.0303945369225507,,,,
Front_EE1_4_3000x_rings_coords.csv,163,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,0.847795424276993,0.4811890927634298,24.713110092555873,,,gaussian_rbf,167.30788058477276,,0.6334417930425164
Front_EE1_4_3000x_rings_coords.csv,163,Uniform RKHS,kernel_gp_line_embedding_cv,0.7792820621410137,0.4738731303595671,22.992871086273716,,,uniform,68.77918087111114,,0.6334417930425164
Front_EE1_4_3000x_rings_coords.csv,163,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,0.8066871807927424,0.43973899348079526,23.62392070890542,,,multiplicative_rbf_vm,406.9825570941892,0.5,0.1835408687376034
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,1.4335575036396588,0.8813181080545578,51.26388529256733,0.0,-1.022679860220908,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),parametric_fixed_p,1.4418639960124595,0.8849137340153685,51.08567572207221,1.0,1.5522573729893405,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),parametric_fixed_p,1.4075610328084662,0.8934138549499137,49.51435000412442,2.0,1.947973093469299e-06,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Parametric continuous p,parametric_continuous_p,1.4449993031869603,0.8724359285658696,52.07175724687571,-0.999,0.7814891120077908,,,,
Front_EE1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,kernel_gp_line_embedding_cv,1.164601803412263,0.6183283463405889,34.76496337858267,,,gaussian_rbf,180.33627969000952,,0.6343316457154121
Front_EE1_5_3000x_rings_coords.csv,180,Uniform RKHS,kernel_gp_line_embedding_cv,1.1229039191879724,0.7189651607572133,32.54990240251812,,,uniform,74.10355322413912,,0.18379870510777294
Front_EE1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,kernel_gp_line_embedding_cv,1.164601803412263,0.6183283463405889,34.76496337858267,,,multiplicative_rbf_vm,180.33627969000952,0.0,0.6343316457154121
