dataset,gaussian_bandwidth,gaussian_sigma_n,gaussian_evidence,multiplicative_bandwidth,multiplicative_kappa,multiplicative_sigma_n,multiplicative_evidence,same_hyperparameters,max_abs_gram_diff
Front_EE-1_1_3000x_rings_coords.csv,62.00955125216084,0.4182291437393777,-308.75719349022114,62.00955125216084,0.0,0.4182291437393777,-308.75719349022114,True,0.0
Front_EE-1_2_3000x_rings_coords.csv,58.95041937154416,0.41631125122654655,-226.1039492283063,58.95041937154416,0.0,0.41631125122654655,-226.1039492283063,True,0.0
Front_EE-1_3_3000x_rings_coords.csv,418.8291937359939,0.6322897350794021,-383.3641629618475,418.8291937359939,0.0,0.6322897350794021,-383.3641629618475,True,0.0
Front_EE-1_4_3000x_rings_coords.csv,234.99624205107816,0.6333372904239154,-372.65005664412433,234.99624205107816,0.0,0.6333372904239154,-372.65005664412433,True,0.0
Front_EE-1_5_3000x_rings_coords.csv,62.63731445632596,0.41977860871642897,-362.0633283495033,62.63731445632596,0.0,0.41977860871642897,-362.0633283495033,True,0.0
Front_EE1_1_3000x_rings_coords.csv,67.59892532587696,0.41673132360436943,-231.23122482807383,67.59892532587696,0.0,0.41673132360436943,-231.23122482807383,True,0.0
Front_EE1_2_3000x_rings_coords.csv,133.0926245148875,0.6348270435961727,-379.881622800306,133.0926245148875,0.0,0.6348270435961727,-379.881622800306,True,0.0
Front_EE1_3_3000x_rings_coords.csv,40.95840007095751,0.18358574865550314,-364.6663672790392,40.95840007095751,0.0,0.18358574865550314,-364.6663672790392,True,0.0
Front_EE1_4_3000x_rings_coords.csv,68.77918087111114,0.41916216046605814,-304.8588427159114,68.77918087111114,0.0,0.41916216046605814,-304.8588427159114,True,0.0
Front_EE1_5_3000x_rings_coords.csv,99.67518653944141,0.6343316457154121,-387.58115269066207,99.67518653944141,0.0,0.6343316457154121,-387.58115269066207,True,0.0
