dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
Front_EE-1_4_3000x_rings_coords.csv,179,Uniform RKHS,uniform,53.51088544392345,,0.05317251448046679,0.41578059054601957,28.800017291724846,kernel_gp_line_embedding_cv,,,
Front_EE-1_4_3000x_rings_coords.csv,179,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,29.607015107573815,0.0,0.18351058892087194,0.3934605812509679,27.828819980710698,kernel_gp_line_embedding_cv,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,62.63731445632596,,0.6343733754272397,0.3663246035630642,25.052277007855047,kernel_gp_line_embedding_cv,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Uniform RKHS,uniform,62.63731445632596,,0.2777766015435682,0.3737650303042315,25.480726445933914,kernel_gp_line_embedding_cv,,,
Front_EE-1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,62.63731445632596,0.0,0.6343733754272397,0.3663246035630642,25.052277007855047,kernel_gp_line_embedding_cv,,,
Front_EE1_1_3000x_rings_coords.csv,136,Gaussian RBF RKHS,gaussian_rbf,27.97152298005916,,0.6297682895503359,0.1527512180392084,16.246342927830177,kernel_gp_line_embedding_cv,,,
Front_EE1_1_3000x_rings_coords.csv,136,Uniform RKHS,uniform,50.37308689740637,,0.6297682895503359,0.20325880207840002,19.466655713340334,kernel_gp_line_embedding_cv,,,
Front_EE1_1_3000x_rings_coords.csv,136,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,27.97152298005916,0.0,0.6297682895503359,0.1527512180392084,16.246342927830177,kernel_gp_line_embedding_cv,,,
Front_EE1_2_3000x_rings_coords.csv,178,Gaussian RBF RKHS,gaussian_rbf,73.64633724402418,,0.6348270435961727,0.482407553885737,30.584648946203536,kernel_gp_line_embedding_cv,,,
Front_EE1_2_3000x_rings_coords.csv,178,Uniform RKHS,uniform,73.64633724402418,,0.08054381594993004,0.48925099619097356,30.85165057027309,kernel_gp_line_embedding_cv,,,
Front_EE1_2_3000x_rings_coords.csv,178,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,73.64633724402418,0.0,0.6348270435961727,0.482407553885737,30.584648946203536,kernel_gp_line_embedding_cv,,,
Front_EE1_3_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,22.638462845343543,,0.03519981577619469,0.3366790540353156,24.605736492634918,kernel_gp_line_embedding_cv,,,
Front_EE1_3_3000x_rings_coords.csv,180,Uniform RKHS,uniform,55.092313253609014,,0.6335966839715044,0.3310573483816327,25.199133634508577,kernel_gp_line_embedding_cv,,,
Front_EE1_3_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,22.638462845343543,0.0,0.03519981577619469,0.3366790540353156,24.605736492634918,kernel_gp_line_embedding_cv,,,
Front_EE1_4_3000x_rings_coords.csv,163,Gaussian RBF RKHS,gaussian_rbf,51.14115511440803,,0.6334417930425164,0.2591810311390663,22.288140110824145,kernel_gp_line_embedding_cv,,,
Front_EE1_4_3000x_rings_coords.csv,163,Uniform RKHS,uniform,92.50036904168934,,0.41916216046605814,0.2731889068968133,23.151019587020546,kernel_gp_line_embedding_cv,,,
Front_EE1_4_3000x_rings_coords.csv,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,51.14115511440803,0.0,0.6334417930425164,0.2591810311390663,22.288140110824145,kernel_gp_line_embedding_cv,,,
Front_EE1_5_3000x_rings_coords.csv,180,Gaussian RBF RKHS,gaussian_rbf,99.67518653944141,,0.6343316457154121,0.5044552357257104,31.514995884138454,kernel_gp_line_embedding_cv,,,
Front_EE1_5_3000x_rings_coords.csv,180,Uniform RKHS,uniform,74.10355322413912,,0.41975099526187415,0.531158407590574,32.202189391376436,kernel_gp_line_embedding_cv,,,
Front_EE1_5_3000x_rings_coords.csv,180,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,242.5666723910242,0.5,0.035240646984189564,0.4875688109804731,30.900928416809496,kernel_gp_line_embedding_cv,,,
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),,,,,0.8595277558556113,46.78528268631776,parametric_fixed_p,0.0,0.14660005267941809,0.4532927123861069
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),,,,,0.90456083845992,47.93589222787772,parametric_fixed_p,1.0,0.16972024495938148,-1.5716912678885275
