bandwidth,mae_deg,rmse_deg,std_residual_deg,bic,rss
0.1,29.81384838869575,36.98870907168179,36.97154728875328,-141.91442710919551,70.01681734769892
0.25,31.073855971659675,37.36341900052144,37.341933867831465,-138.52774255095457,71.44259768468933
0.5,32.23610589882118,38.70051210678685,38.69918001654478,-126.7137444932596,76.64740232701487
1.0,32.49812418738208,39.07040399644128,39.06973404803563,-123.51757249705243,78.119565809255
1.5,32.57609700927729,39.22532084080497,39.22071372514793,-122.18794363823947,78.74029291122886
2.0,32.60121924639243,39.28796419069418,39.286828607548415,-121.65177526824385,78.99199228761984
3.0,32.61608228139992,39.33189374651768,39.331564730739984,-121.27628915875233,79.16873970788626
5.0,32.6234936133856,39.35618964649066,39.356097710134996,-121.06880100302826,79.2665773494314
