dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.0,,0.38494988518651974,0.16930898266190814,26.96235895317053
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.1084948498869287,,0.3846048807463588,0.16838283769075807,26.953069020289963
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.2287608322258445,,0.3844352871378068,0.16741014256533474,26.951907057527364
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.3620750542651252,,0.3844756398299855,0.16643257268525355,26.955850380446122
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.5098531828123503,,0.38473380359874715,0.16548738721586156,26.96331403768126
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.673664477232878,,0.38519138857019575,0.1646065294429943,26.971982511034902
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1.8552484534513438,,0.38581171403152514,0.16381498381502316,26.979502205764373
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,2.056533355911504,,0.3865476420788614,0.16312608450664715,26.983844415708575
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,2.2796566336485844,,0.38734054251299843,0.16253449863997688,26.982969632044863
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,2.526987637910029,,0.388107881292741,0.16201159924012737,26.973812804916047
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,2.801152782351202,,0.38872752491035345,0.16151153756395928,26.951025939660788
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,3.1050634329827487,,0.3890344720738687,0.16099355020619102,26.913669601124877
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,3.4419468240336033,,0.38884357632971167,0.16045467836840518,26.84971997286604
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,3.8153803280259204,,0.38799929184310333,0.15995718754204602,26.766104161214674
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,4.229329443976634,,0.386437547619645,0.1596368732285441,26.6429368836658
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,4.688189907123245,,0.38423520555419816,0.1596876844854545,26.483593736409414
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,5.196834367337996,,0.38162162983135073,0.16032424690142266,26.323347669313854
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,5.760664131909565,,0.3789315656808374,0.16172860625173613,26.126491579490892
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,6.385666522150107,,0.37651152396595705,0.1639788869766765,25.905925209789977
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,7.07847845289877,,0.37411948420345825,0.16645461750246712,25.644478329185368
