model,mean_test_rss_mean,mean_test_rss_median,mean_test_mae_deg_mean
RBF-von-Mises kernel smoother,0.3576731396759141,0.3496025366497383,25.598308274654535
RBF kernel smoother,0.36078616465791635,0.35395479525889956,25.674446259346762
Parametric continuous p,0.5588184763725123,0.5885191258195569,35.21809332365616
Parametric p=1 (Archimedean),0.5949125744490985,0.5892100137285989,36.667954743550666
Parametric p=0 (Logarithmic),0.6362266702729282,0.6330949843864994,38.238682073611244
Parametric p=2 (Fermat),0.6567278535497978,0.6874658363547518,38.882231098054774
