Model,p,A,b,RSS,BIC,Delta_BIC,BayesFactor
Logarithmic,0,72.01663517440215,16.358685750125655,81.95808730164671,-319.46985673935336,0.0,1.0
Archimedean,1,2583.908698426842,16.358685750125655,115.04176260587175,-226.55995588133175,92.90990085802162,6.681459982111936e-21
Fermat,2,79386.63713430213,16.358685750125655,125.611743345992,-202.47521008389967,116.99464665545369,3.9349142503940366e-26
