Ring,Coordinate,Angle (α′),Pattern
1,"(6.00, 0.00)",83.01,Anticlockwise
1,"(0.00, -6.00)",-2.15,Clockwise
1,"(-6.00, 0.00)",-82.12,Clockwise
1,"(0.00, 6.00)",-5.84,Clockwise
2,"(35.00, 0.00)",45.18,Anticlockwise
2,"(25.00, -25.00)",35.91,Anticlockwise
2,"(0.00, -35.00)",73.96,Anticlockwise
2,"(-25.00, 25.00)",-29.01,Clockwise
2,"(0.00, 35.00)",8.55,Anticlockwise
2,"(25.00, 25.00)",45.49,Anticlockwise
3,"(65.00, 0.00)",35.91,Anticlockwise
3,"(56.00, -33.00)",19.48,Anticlockwise
3,"(32.00, -56.00)",42.57,Anticlockwise
3,"(0.00, -65.00)",63.48,Anticlockwise
3,"(-56.00, 33.00)",-54.75,Clockwise
3,"(-32.00, 56.00)",-24.62,Clockwise
3,"(0.00, 65.00)",47.54,Anticlockwise
3,"(32.00, 56.00)",42.84,Anticlockwise
3,"(56.00, 33.00)",40.16,Anticlockwise
4,"(94.00, 0.00)",22.07,Anticlockwise
4,"(87.00, -36.00)",17.56,Anticlockwise
4,"(66.00, -66.00)",24.60,Anticlockwise
4,"(36.00, -87.00)",38.11,Anticlockwise
4,"(0.00, -94.00)",69.09,Anticlockwise
4,"(-66.00, -66.00)",-58.75,Clockwise
4,"(-87.00, -36.00)",-42.55,Clockwise
4,"(-94.00, 0.00)",-28.23,Clockwise
4,"(-87.00, 36.00)",-57.77,Clockwise
4,"(-66.00, 66.00)",-55.33,Clockwise
4,"(-36.00, 87.00)",62.90,Anticlockwise
4,"(0.00, 94.00)",77.08,Anticlockwise
4,"(36.00, 87.00)",49.41,Anticlockwise
4,"(66.00, 66.00)",26.46,Anticlockwise
4,"(87.00, 36.00)",29.86,Anticlockwise
5,"(124.00, 0.00)",12.57,Anticlockwise
5,"(118.00, -38.00)",49.82,Anticlockwise
5,"(100.00, -73.00)",3.19,Anticlockwise
5,"(38.00, -118.00)",56.92,Anticlockwise
5,"(-100.00, -73.00)",-51.21,Clockwise
5,"(-118.00, -38.00)",-34.27,Clockwise
5,"(-124.00, 0.00)",-16.71,Clockwise
5,"(-118.00, 38.00)",-44.09,Clockwise
5,"(-100.00, 73.00)",-31.75,Clockwise
5,"(-73.00, 100.00)",-23.74,Clockwise
5,"(-38.00, 118.00)",43.08,Anticlockwise
5,"(0.00, 124.00)",77.28,Anticlockwise
5,"(38.00, 118.00)",45.74,Anticlockwise
5,"(73.00, 100.00)",46.16,Anticlockwise
5,"(100.00, 73.00)",30.03,Anticlockwise
5,"(118.00, 38.00)",26.15,Anticlockwise
6,"(153.00, 0.00)",20.46,Anticlockwise
6,"(148.00, -40.00)",17.81,Anticlockwise
6,"(133.00, -77.00)",3.61,Anticlockwise
6,"(108.00, -108.00)",24.58,Anticlockwise
6,"(76.00, -133.00)",29.22,Anticlockwise
6,"(-76.00, -133.00)",-34.15,Clockwise
6,"(-108.00, -108.00)",-34.60,Clockwise
6,"(-133.00, -77.00)",-24.53,Clockwise
6,"(-148.00, -40.00)",-23.67,Clockwise
6,"(-153.00, 0.00)",-21.27,Clockwise
6,"(-148.00, 40.00)",-31.59,Clockwise
6,"(-133.00, 77.00)",-10.68,Clockwise
6,"(-108.00, 108.00)",-63.73,Clockwise
6,"(-77.00, 133.00)",-31.58,Clockwise
6,"(-40.00, 148.00)",88.21,Anticlockwise
6,"(0.00, 153.00)",78.87,Anticlockwise
6,"(40.00, 148.00)",53.92,Anticlockwise
6,"(76.00, 133.00)",-81.00,Clockwise
6,"(108.00, 108.00)",-70.81,Clockwise
6,"(133.00, 77.00)",-14.40,Clockwise
6,"(148.00, 40.00)",39.09,Anticlockwise
7,"(182.00, 0.00)",57.67,Anticlockwise
7,"(177.00, -40.00)",81.54,Anticlockwise
7,"(164.00, -79.00)",28.57,Anticlockwise
7,"(142.00, -113.00)",19.94,Anticlockwise
7,"(113.00, -142.00)",45.56,Anticlockwise
7,"(79.00, -164.00)",0.44,Anticlockwise
7,"(-79.00, -164.00)",-6.53,Clockwise
7,"(-142.00, -113.00)",-26.15,Clockwise
7,"(-164.00, -79.00)",-10.30,Clockwise
7,"(-177.00, -40.00)",24.01,Anticlockwise
7,"(-182.00, 0.00)",3.07,Anticlockwise
7,"(-177.00, 40.00)",-0.95,Clockwise
7,"(-164.00, 79.00)",14.05,Anticlockwise
7,"(-142.00, 113.00)",-22.08,Clockwise
7,"(-113.00, 142.00)",-57.69,Clockwise
7,"(-79.00, 164.00)",-85.07,Clockwise
7,"(-40.00, 177.00)",-73.58,Clockwise
7,"(0.00, 182.00)",63.35,Anticlockwise
7,"(40.00, 177.00)",53.96,Anticlockwise
7,"(79.00, 164.00)",-70.63,Clockwise
7,"(113.00, 142.00)",-87.55,Clockwise
7,"(142.00, 113.00)",79.41,Anticlockwise
7,"(164.00, 79.00)",88.31,Anticlockwise
7,"(177.00, 40.00)",74.26,Anticlockwise
8,"(212.00, 0.00)",53.35,Anticlockwise
8,"(208.00, -41.00)",79.07,Anticlockwise
8,"(196.00, -81.00)",43.28,Anticlockwise
8,"(150.00, -150.00)",78.70,Anticlockwise
8,"(118.00, -176.00)",43.30,Anticlockwise
8,"(81.00, -196.00)",15.83,Anticlockwise
8,"(-81.00, -196.00)",37.73,Anticlockwise
8,"(-118.00, -176.00)",-4.65,Clockwise
8,"(-176.00, -118.00)",11.40,Anticlockwise
8,"(-196.00, -81.00)",26.17,Anticlockwise
8,"(-208.00, 41.00)",7.19,Anticlockwise
8,"(-196.00, 81.00)",54.90,Anticlockwise
8,"(-150.00, 150.00)",-38.13,Clockwise
8,"(-41.00, 208.00)",-34.55,Clockwise
8,"(0.00, 212.00)",-60.34,Clockwise
8,"(41.00, 208.00)",33.36,Anticlockwise
8,"(81.00, 196.00)",29.10,Anticlockwise
8,"(118.00, 176.00)",61.35,Anticlockwise
8,"(150.00, 150.00)",-86.07,Clockwise
8,"(176.00, 118.00)",69.99,Anticlockwise
8,"(196.00, 81.00)",-80.85,Clockwise
9,"(236.00, -42.00)",83.40,Anticlockwise
9,"(226.00, -82.00)",59.96,Anticlockwise
9,"(185.00, -155.00)",43.41,Anticlockwise
9,"(155.00, -185.00)",50.22,Anticlockwise
9,"(120.00, -209.00)",42.88,Anticlockwise
9,"(-82.00, -226.00)",45.21,Anticlockwise
9,"(-120.00, -209.00)",13.27,Anticlockwise
9,"(-155.00, -185.00)",-29.54,Clockwise
9,"(-185.00, -155.00)",11.47,Anticlockwise
9,"(-209.00, -121.00)",46.31,Anticlockwise
9,"(-237.00, 42.00)",15.79,Anticlockwise
9,"(-185.00, 155.00)",-11.59,Clockwise
9,"(-155.00, 185.00)",-5.93,Clockwise
9,"(-42.00, 237.00)",-11.06,Clockwise
9,"(0.00, 241.00)",49.21,Anticlockwise
9,"(42.00, 237.00)",-73.89,Clockwise
9,"(82.00, 226.00)",40.07,Anticlockwise
9,"(155.00, 185.00)",-68.93,Clockwise
9,"(226.00, 82.00)",-54.10,Clockwise
9,"(237.00, 42.00)",83.09,Anticlockwise
SUMMARY,n_vectors=136,,Anticlockwise
