Ring,Coordinate,Angle (α′),Pattern
1,"(8.00, 0.00)",-83.71,Clockwise
1,"(0.00, -8.00)",5.03,Anticlockwise
1,"(-8.00, 0.00)",-82.25,Clockwise
1,"(0.00, 8.00)",5.86,Anticlockwise
2,"(50.00, 0.00)",57.41,Anticlockwise
2,"(35.00, -35.00)",-59.73,Clockwise
2,"(0.00, -50.00)",12.35,Anticlockwise
2,"(-35.00, -35.00)",21.80,Anticlockwise
2,"(-50.00, 0.00)",56.39,Anticlockwise
2,"(-35.00, 35.00)",-75.56,Clockwise
2,"(0.00, 50.00)",-79.87,Clockwise
2,"(35.00, 35.00)",20.33,Anticlockwise
3,"(91.00, 0.00)",33.90,Anticlockwise
3,"(79.00, -45.00)",0.47,Anticlockwise
3,"(45.00, -79.00)",-30.09,Clockwise
3,"(0.00, -91.00)",-3.17,Clockwise
3,"(-45.00, -79.00)",5.85,Anticlockwise
3,"(-79.00, -45.00)",5.99,Anticlockwise
3,"(-91.00, 0.00)",40.68,Anticlockwise
3,"(-79.00, 45.00)",30.45,Anticlockwise
3,"(-45.00, 79.00)",79.20,Anticlockwise
3,"(0.00, 91.00)",-16.83,Clockwise
3,"(45.00, 79.00)",-5.11,Clockwise
3,"(79.00, 46.00)",18.44,Anticlockwise
4,"(132.00, 0.00)",-41.20,Clockwise
4,"(122.00, -51.00)",-38.07,Clockwise
4,"(93.00, -93.00)",-27.90,Clockwise
4,"(51.00, -122.00)",-6.89,Clockwise
4,"(0.00, -132.00)",-12.59,Clockwise
4,"(-51.00, -122.00)",-14.15,Clockwise
4,"(-93.00, -93.00)",-61.02,Clockwise
4,"(-122.00, -51.00)",56.97,Anticlockwise
4,"(-132.00, 0.00)",84.42,Anticlockwise
4,"(-122.00, 51.00)",56.50,Anticlockwise
4,"(-93.00, 93.00)",44.42,Anticlockwise
4,"(-51.00, 122.00)",-70.18,Clockwise
4,"(0.00, 132.00)",-37.07,Clockwise
4,"(51.00, 122.00)",-25.43,Clockwise
4,"(93.00, 93.00)",-10.11,Clockwise
4,"(122.00, 51.00)",-32.27,Clockwise
5,"(174.00, 0.00)",-33.83,Clockwise
5,"(165.00, -54.00)",-46.62,Clockwise
5,"(141.00, -102.00)",-24.28,Clockwise
5,"(102.00, -141.00)",-79.11,Clockwise
5,"(54.00, -165.00)",-34.95,Clockwise
5,"(0.00, -174.00)",-8.50,Clockwise
5,"(-54.00, -165.00)",-51.13,Clockwise
5,"(-102.00, -141.00)",62.67,Anticlockwise
5,"(-141.00, -102.00)",64.58,Anticlockwise
5,"(-165.00, -54.00)",65.03,Anticlockwise
