dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
Front_EE1_2_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,1.3,3.1409575619820127,120.89384742667504,0.6791789181273878,40.2303259478956,-218.13956805780688,446.64270321619796,-223.32135160809898,2
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,0.6271598420367884,119.46343320133896,0.6636857400074386,39.77553287116056,-218.5137487573657,442.2204543656216,-221.1102271828108,1
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.003904676151327758,119.63207282137529,0.6646226267854183,39.316916510450945,-218.6407069639217,442.4743707787336,-221.2371853893668,1
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-3.1415811742824062,123.40619403996081,0.6855899668886711,39.71821489995409,-221.43613684896016,448.0652305488105,-224.03261527440526,1
Front_EE1_3_3000x_rings_coords.csv,180,Parametric continuous p,parametric_continuous_p,0.6913489721882301,0.020566950008558984,119.19047595335778,0.6621693108519876,39.250254693968614,-218.30787605142712,447.0016658046346,-223.5008329023173,2
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.6600485315292,110.08845829864032,0.6753893147155848,40.43382911888096,-199.3010025780872,403.6957553569812,-201.8478776784906,1
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-3.087171027506479,107.87746253609197,0.6618249235343066,39.95587914752555,-197.64751165777324,400.38877351635324,-200.19438675817662,1
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=2 (Fermat),parametric_fixed_p,2.0,0.001122330923640905,109.34406461898047,0.6708224823250335,40.090404909709534,-198.7480460991489,402.58984239910455,-201.29492119955228,1
Front_EE1_4_3000x_rings_coords.csv,163,Parametric continuous p,parametric_continuous_p,0.8637256449400142,0.09699251084375647,107.79881300041853,0.6613424110455125,39.91068293652482,-197.58807130045466,405.36364300252285,-202.68182150126142,2
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.180104377562382,142.76317669835746,0.7931287594353192,44.483630967492815,-234.54966293220582,474.29228271530184,-237.14614135765092,1
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,3.107527544171062,142.86326642864003,0.7936848134924446,44.11901829927366,-234.61273885749853,474.41843456588725,-237.20921728294363,1
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-3.0583613676809915,144.97896689798472,0.805438704988804,44.24469499151856,-235.93580023879088,477.06455732847195,-238.53227866423597,1
Front_EE1_5_3000x_rings_coords.csv,180,Parametric continuous p,parametric_continuous_p,-0.999,-1.5654760091373952,140.7168429512339,0.7817602386179661,44.03819144785671,-233.2502892655451,476.8864922328706,-238.4432461164353,2
