model,mean_test_rss_mean,mean_test_rss_median,mean_test_mae_deg_mean
RBF-von-Mises pitch kernel smoother,0.36154323852545817,0.34827832431728317,26.267778632203527
RBF pitch kernel smoother,0.5526304036665438,0.5822189167270168,34.73407411736613
Parametric continuous p,0.5588184763725123,0.5885191258195569,35.21809332365616
Parametric p=1 (Archimedean),0.5949125744490985,0.5892100137285989,36.667954743550666
Parametric p=0 (Logarithmic),0.6362266702729282,0.6330949843864994,38.238682073611244
Parametric p=2 (Fermat),0.6567278535497978,0.6874658363547518,38.882231098054774
