dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.0,,0.6266646434722183,0.13792788423720218,38.22784413640601
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.1084948498869287,,0.6265470415627082,0.1392102519693326,38.21057527061858
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.2287608322258445,,0.626405705659214,0.1403923720974649,38.19239033936185
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.3620750542651252,,0.6262573673177239,0.1414577077484914,38.17458054296585
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.5098531828123503,,0.6261122428230235,0.14240088526782013,38.1578976944324
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.673664477232878,,0.6259417517506864,0.14324682800229363,38.142111152217986
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1.8552484534513438,,0.6257124605980244,0.14402543748408508,38.12671960331263
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,2.056533355911504,,0.6255126004663927,0.14468876145422527,38.11332281782423
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,2.2796566336485844,,0.6253407204367474,0.1452493035936383,38.10181295752151
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,2.526987637910029,,0.6251944777129436,0.14571981220737634,38.09202621655244
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,2.801152782351202,,0.6250711105241263,0.14611255472925716,38.08377357074317
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,3.1050634329827487,,0.624967754852532,0.1464388810925431,38.07686106150659
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,3.4419468240336033,,0.624881643236178,0.14670899905405005,38.07110237092037
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,3.8153803280259204,,0.6248102184933708,0.14693189672394266,38.066325923302045
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,4.229329443976634,,0.6247511889484716,0.14711536103625225,38.06237825824502
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,4.688189907123245,,0.624702545460469,0.14726605380633212,38.0591249814036
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,5.196834367337996,,0.624662554987777,0.1473896181535496,38.056450232010455
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,5.760664131909565,,0.6246297405838275,0.14749079690813643,38.05425530539558
