dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=0 (Logarithmic),parametric_fixed_p,0.5851987339391902,0.12181391536151505,35.70063938659722,0.0,-1.1226853532909304
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=1 (Archimedean),parametric_fixed_p,0.573478497853344,0.10792757673943187,35.404142022598265,1.0,-3.1383089553846055
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric p=2 (Fermat),parametric_fixed_p,0.5262712151854624,0.14086983702168712,33.96812003502778,2.0,-3.141569856928731
Front_EE-1_1_3000x_rings_coords.csv,168,Parametric continuous p,parametric_continuous_p,0.5146316845971197,0.15482596167826815,33.73871274471588,2.9341098903521505,1.3385004628784038e-07
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7472159174855075,0.15127461737788822,42.56903535526842,0.0,-2.546519164614014
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=1 (Archimedean),parametric_fixed_p,0.8599528381271746,0.16395799161886204,46.61118419083236,1.0,-3.093622696544956
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric p=2 (Fermat),parametric_fixed_p,0.8825384402595216,0.13748203745212795,48.3135375282945,2.0,1.5236620883008725
Front_EE-1_2_3000x_rings_coords.csv,129,Parametric continuous p,parametric_continuous_p,0.7622738208802786,0.13253347357248527,43.49900819549354,-0.9551208666961961,-1.5819018709133237
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7106636771823478,0.19371133885304434,41.38261491890982,0.0,1.273482233629185
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),parametric_fixed_p,0.6671559236741478,0.1939671066003867,40.19790030285035,1.0,-3.130698381073537
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),parametric_fixed_p,0.7390692119508346,0.18651052163010348,42.269375647476416,2.0,1.549965775165844
Front_EE-1_3_3000x_rings_coords.csv,178,Parametric continuous p,parametric_continuous_p,0.6153787387721621,0.17788699135061922,37.30383554009139,2.9380495320341837,3.95449433246065e-07
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=0 (Logarithmic),parametric_fixed_p,0.600879551967875,0.1676979674178563,37.13956604950058,0.0,0.3642756850036726
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=1 (Archimedean),parametric_fixed_p,0.5929629867795696,0.178872621457504,36.26028551008996,1.0,-3.1399487632044245
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric p=2 (Fermat),parametric_fixed_p,0.594271939920768,0.17919688673490802,36.38696251497859,2.0,5.183658872658121e-06
Front_EE-1_4_3000x_rings_coords.csv,179,Parametric continuous p,parametric_continuous_p,0.5944323524463778,0.17963194678211217,36.327947126188874,1.2294595722620734,-3.1410980122319043
