dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,47.11498505883144,16.0,0.32,0.11791601335120519,0.17960722943550364,12.103631603355387,10
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.56,0.15345017483391127,0.18800421591968933,14.288352824567047,10
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.03,0.4773815608971793,0.2267708852456373,30.861694500927257,10
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,32.0,,0.14135933014078964,0.18350927017214785,13.525165892208895,10
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Nadaraya-Watson,NW RBF line field,rbf,10.090099168608685,,,0.17893999068965516,0.20268209059647804,17.147520320688542,10
EE+0p42-data-225x225/EE_0.42data_rot_-7.5deg/arrow_segments.mat,128,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.1996459214112794,0.2137598451499537,18.70253437638362,10
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,32.0,0.56,0.22635138200528976,0.2322585438199808,17.84393220214189,10
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,1.0,0.3056714884523496,0.25532113675207785,22.627526564048214,10
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.03,0.649247524167927,0.2634483391226491,40.51323075576256,10
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,32.0,,0.26783532652499614,0.2550064799986371,19.719471488140584,10
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.3464673486945262,0.25354248630856957,24.050843450842738,10
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.3280754457147136,0.28873441810718214,24.227972919732885,10
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,4.0,0.56,0.1068343967091336,0.14245409529215494,13.141655130031557,10
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.56,0.18176795219166425,0.19510953448195914,16.93002100024475,10
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,1.0,0.603743814723736,0.3346925748624135,37.96422034772151,10
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,220.0,32.0,,0.12097392713921969,0.14857223533492492,14.54717391757473,10
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.1931843069578742,0.1824132953714815,17.992534919288886,10
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.20878239310795918,0.17600509536481598,19.61549470113729,10
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,47.11498505883144,4.0,0.56,0.12086699536810445,0.12287007771482567,13.965352158182537,10
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.18,0.15980621588513194,0.20403474177806735,16.597547370236395,10
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.32,0.5361738661228992,0.25084710416802874,34.90585529634785,10
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,32.0,,0.13921630534737836,0.13613405524867342,15.349714971876324,10
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.236708164384287,0.16116542201590714,21.474675460864102,10
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.28824956998789414,0.2488922236912312,23.145281526101673,10
