dataset,kernel,GP/KRR,Nadaraya-Watson,gp_minus_nw_rss
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,rbf,0.15045766153026224,0.19546537360660543,-0.04500771207634319
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,uniform,0.57578249401359,0.20130966102023223,0.3744728329933578
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.14362147874461897,0.15136804313001467,-0.007746564385395699
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,rbf,0.18748170212723334,0.20524126626288583,-0.017759564135652495
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,uniform,0.5169342519402791,0.2024047357007573,0.3145295162395218
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.1170666357898144,0.14005168707734444,-0.022985051287530048
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,rbf,0.14042964360747034,0.16759807028442836,-0.027168426676958013
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,uniform,0.3909904006349076,0.1892283777916661,0.2017620228432415
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.11824604213728382,0.12953936462808333,-0.011293322490799507
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,rbf,0.13519242052889976,0.13669207178875797,-0.001499651259858209
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,uniform,0.6571089853240661,0.1456185874885953,0.5114903978354708
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,multiplicative_rbf_vm,0.062241462231533796,0.06960503206555273,-0.007363569834018931
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,rbf,0.08250075871024368,0.09277376791334402,-0.010273009203100342
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,uniform,0.5032231573445896,0.10057723955137159,0.40264591779321796
